#Organism Name,Strain,Assembly,Level,Size(Mb),GC%,Replicons,GenBank FTP,RefSeq FTP
"Salmonella enterica subsp. enterica serovar Typhimurium","SL26","GCA_009497835.1","Complete",5.09658,52.0824,"chromosome:CP032490.1; plasmid pSL26_91:CP032492.1; plasmid pSL26_ColRNAI:CP032493.1; plasmid pSL26_IncA/C2:CP032491.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/497/835/GCA_009497835.1_ASM949783v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/497/835/GCF_009497835.1_ASM949783v1"
"Escherichia coli O25b:H4","O25b:H4","GCA_001874485.1","Complete",5.48309,50.757,"chromosome:NZ_CP015085.1/CP015085.1; chromosome unnamed1:NZ_CP015087.1/CP015087.1; chromosome unnamed2:NZ_CP015088.1/CP015088.1; plasmid unnamed:NZ_CP015086.1/CP015086.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/874/485/GCA_001874485.1_ASM187448v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/874/485/GCF_001874485.1_ASM187448v1"
"Klebsiella pneumoniae","ST307PT04","GCA_003597695.1","Complete",5.58454,57.202,"chromosome:NZ_CP022916.1/CP022916.1; plasmid pJYC04A:NZ_CP022917.1/CP022917.1; plasmid pJYC04B:NZ_CP022918.1/CP022918.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/597/695/GCA_003597695.1_ASM359769v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/597/695/GCF_003597695.1_ASM359769v1"
"Acinetobacter pittii","2014S06-099","GCA_003359305.2","Complete",4.30145,38.7867,"chromosome:CP033540.1; plasmid p2014S06-099-1:CP033541.1; plasmid p2014S06-099-2:CP033542.1; plasmid p2014S06-099-3:CP033543.1; plasmid p2014S06-099-4:CP033544.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/359/305/GCA_003359305.2_ASM335930v2",
"Klebsiella pneumoniae","ST307PT03","GCA_003597735.1","Complete",5.58476,57.2021,"chromosome:NZ_CP022919.1/CP022919.1; plasmid pJYC03A:NZ_CP022920.1/CP022920.1; plasmid pJYC03B:NZ_CP022921.1/CP022921.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/597/735/GCA_003597735.1_ASM359773v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/597/735/GCF_003597735.1_ASM359773v1"
"Escherichia coli","09-00049","GCA_001677495.1","Complete",5.51185,50.5202,"chromosome:NZ_CP015228.1/CP015228.1; plasmid pCFSAN004180G:NZ_CP012500.1/CP012500.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/677/495/GCA_001677495.1_ASM167749v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/677/495/GCF_001677495.1_ASM167749v1"
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","4316STDY6559672","GCA_901457625.1","Complete",4.83712,52.1,"NZ_LR590082.1/LR590082.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/901/457/625/GCA_901457625.1_ERS3381927","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/901/457/625/GCF_901457625.1_ERS3381927"
"Salmonella enterica subsp. enterica serovar Anatum str. USDA-ARS-USMARC-1677","USDA-ARS-USMARC-1677","GCA_001623545.2","Complete",4.83639,52.2,"chromosome:NZ_CP014663.2/CP014663.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/623/545/GCA_001623545.2_ASM162354v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/623/545/GCF_001623545.2_ASM162354v2"
"Escherichia coli","SLK172","GCA_001936315.1","Complete",5.77366,50.4392,"chromosome:NZ_CP017631.1/CP017631.1; plasmid pSLK172-1:NZ_CP017632.1/CP017632.1; plasmid pSLK172-2:NZ_CP017633.1/CP017633.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/936/315/GCA_001936315.1_ASM193631v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/936/315/GCF_001936315.1_ASM193631v1"
"Klebsiella pneumoniae","CAV1392","GCA_001022035.1","Complete",5.55249,57.2436,"chromosome:NZ_CP011578.1/CP011578.1; plasmid pCAV1392-131:NZ_CP011577.1/CP011577.1; plasmid pCAV1392-50:NZ_CP011576.1/CP011576.1; plasmid pKPC_CAV1392:NZ_CP011575.1/CP011575.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/022/035/GCA_001022035.1_ASM102203v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/022/035/GCF_001022035.1_ASM102203v1"
"Klebsiella pneumoniae","AR_0148","GCA_002202255.1","Complete",5.79861,56.8151,"chromosome:NZ_CP021950.1/CP021950.1; plasmid tig00000168_pilon:NZ_CP021951.1/CP021951.1; plasmid tig00000169_pilon:NZ_CP021952.1/CP021952.1; plasmid tig00000185_pilon:NZ_CP021953.1/CP021953.1; plasmid tig00001025alt_u_pilon:NZ_CP021954.1/CP021954.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/202/255/GCA_002202255.1_ASM220225v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/202/255/GCF_002202255.1_ASM220225v1"
"Escherichia coli","NCTC9044","GCA_900636225.1","Complete",5.27821,50.5,"chromosome 1:NZ_LR134238.1/LR134238.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/636/225/GCA_900636225.1_39304_C01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/636/225/GCF_900636225.1_39304_C01"
"Salmonella enterica subsp. enterica serovar Typhi","ERL034151","GCA_001362095.2","Complete",4.83568,52.1,"chromosome 1:NZ_LT904867.1/LT904867.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/362/095/GCA_001362095.2_034151_4","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/362/095/GCF_001362095.2_034151_4"
"Salmonella enterica subsp. enterica serovar Typhimurium","BL10","GCA_002762135.3","Complete",5.19306,51.8541,"chromosome:NZ_CP024619.1/CP024619.1; plasmid p10k:NZ_CP025337.1/CP025337.1; plasmid p113k:NZ_CP025339.1/CP025339.1; plasmid p11k:NZ_CP025338.2/CP025338.2; plasmid p220k:NZ_CP025340.1/CP025340.1; plasmid p3.8k:NZ_CP025336.1/CP025336.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/762/135/GCA_002762135.3_ASM276213v3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/762/135/GCF_002762135.3_ASM276213v3"
"Escherichia coli","ECONIH4","GCA_002934895.1","Complete",5.789,50.8366,"chromosome:NZ_CP026399.1/CP026399.1; plasmid pECO-5e72:NZ_CP026400.1/CP026400.1; plasmid pECO-6357:NZ_CP026404.1/CP026404.1; plasmid pECO-816c:NZ_CP026403.1/CP026403.1; plasmid pECO-c85f:NZ_CP026405.1/CP026405.1; plasmid pECO-e618:NZ_CP026402.1/CP026402.1; plasmid pKPC-b33e:NZ_CP026401.1/CP026401.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/934/895/GCA_002934895.1_ASM293489v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/934/895/GCF_002934895.1_ASM293489v1"
"Klebsiella pneumoniae","CAV1453","GCA_001902255.1","Complete",5.59498,57.2856,"chromosome:NZ_CP018356.1/CP018356.1; plasmid pCAV1453-14:NZ_CP018353.1/CP018353.1; plasmid pCAV1453-208:NZ_CP018355.1/CP018355.1; plasmid pCAV1453-46:NZ_CP018354.1/CP018354.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/902/255/GCA_001902255.1_ASM190225v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/902/255/GCF_001902255.1_ASM190225v1"
"Klebsiella pneumoniae subsp. pneumoniae","ARLG-3135","GCA_003850165.1","Complete",5.56246,57.0775,"chromosome:NZ_CP033946.1/CP033946.1; plasmid p1:NZ_CP033947.1/CP033947.1; plasmid p2:NZ_CP033948.1/CP033948.1; plasmid p3:NZ_CP033949.1/CP033949.1; plasmid p4:NZ_CP033950.1/CP033950.1; plasmid p5:NZ_CP033951.1/CP033951.1; plasmid p6:NZ_CP033952.1/CP033952.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/850/165/GCA_003850165.1_ASM385016v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/850/165/GCF_003850165.1_ASM385016v1"
"Escherichia coli","HUSEC2011","GCA_000967155.1","Complete",5.44334,50.6352,"chromosome I:NZ_HF572917.1/HF572917.2; plasmid II:NC_022742.1/HE610900.2; plasmid III:NC_022743.1/HE610901.2; plasmid IV:NC_022741.1/HE610902.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/967/155/GCA_000967155.1_HUSEC2011CHR1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/967/155/GCF_000967155.2_HUSEC2011CHR1"
"Salmonella enterica","QH","GCA_008386295.1","Complete",4.89083,52.2057,"chromosome:NZ_CP043773.1/CP043773.1; plasmid p1:NZ_CP043774.1/CP043774.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/386/295/GCA_008386295.1_ASM838629v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/386/295/GCF_008386295.1_ASM838629v1"
"Salmonella enterica subsp. enterica serovar Gaminara str. SA20063285","SA20063285","GCA_001448665.2","Complete",4.95799,52.1714,"chromosome:NZ_CP030288.1/CP030288.1; plasmid pIncI1.1:NZ_CP030289.1/CP030289.1; plasmid pIncI1.2:NZ_CP030290.1/CP030290.1; plasmid pIncI1.3:NZ_CP030291.1/CP030291.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/448/665/GCA_001448665.2_ASM144866v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/448/665/GCF_001448665.2_ASM144866v2"
"Escherichia coli","FDAARGOS_403","GCA_002393365.1","Complete",5.47541,50.6154,"chromosome:NZ_CP023535.1/CP023535.1; plasmid unnamed1:NZ_CP023534.1/CP023534.1; plasmid unnamed2:NZ_CP023533.1/CP023533.1; plasmid unnamed3:NZ_CP023532.1/CP023532.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/393/365/GCA_002393365.1_ASM239336v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/393/365/GCF_002393365.1_ASM239336v1"
"Klebsiella pneumoniae","ST307PT02","GCA_003597715.1","Complete",5.57067,57.2052,"chromosome:NZ_CP022922.1/CP022922.1; plasmid pJYC02A:NZ_CP022923.1/CP022923.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/597/715/GCA_003597715.1_ASM359771v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/597/715/GCF_003597715.1_ASM359771v1"
"Klebsiella pneumoniae","AR_0125","GCA_002197505.1","Complete",5.72656,57.1216,"chromosome:NZ_CP021859.1/CP021859.1; plasmid tig00000001_pilon:NZ_CP021856.1/CP021856.1; plasmid tig00000002_pilon:NZ_CP021857.1/CP021857.1; plasmid tig00000005_pilon:NZ_CP021858.1/CP021858.1; plasmid tig00000007_pilon:NZ_CP021860.1/CP021860.1; plasmid tig00000009_pilon:NZ_CP021861.1/CP021861.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/197/505/GCA_002197505.1_ASM219750v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/197/505/GCF_002197505.1_ASM219750v1"
"Escherichia coli O104:H4","FDAARGOS_349","GCA_002983645.1","Complete",5.50115,50.6249,"chromosome:NZ_CP027394.1/CP027394.1; plasmid unnamed1:NZ_CP027395.1/CP027395.1; plasmid unnamed2:NZ_CP027392.1/CP027392.1; plasmid unnamed3:NZ_CP027396.1/CP027396.1; plasmid unnamed4:NZ_CP027393.1/CP027393.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/983/645/GCA_002983645.1_ASM298364v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/983/645/GCF_002983645.1_ASM298364v1"
"Salmonella enterica subsp. enterica","CFSA231","GCA_004124195.2","Complete",4.86782,52.0302,"chromosome:NZ_CP033350.2/CP033350.2; plasmid pCFSA231:NZ_CP033349.2/CP033349.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/124/195/GCA_004124195.2_ASM412419v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/124/195/GCF_004124195.2_ASM412419v2"
"Salmonella enterica subsp. enterica serovar Tennessee","CFSAN076210","GCA_003710185.1","Complete",4.94397,52.1667,"chromosome:NZ_CP033345.1/CP033345.1; plasmid pCFSAN076210:NZ_CP033346.1/CP033346.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/710/185/GCA_003710185.1_ASM371018v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/710/185/GCF_003710185.1_ASM371018v1"
"Escherichia coli O104:H4","FWSEC0009","GCA_005014075.1","Complete",5.443,50.6351,"chromosome:NZ_CP031902.1/CP031902.1; plasmid unnamed18:NZ_CP031903.1/CP031903.1; plasmid unnamed19:NZ_CP031904.1/CP031904.1; plasmid unnamed20:NZ_CP031905.1/CP031905.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/014/075/GCA_005014075.1_ASM501407v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/014/075/GCF_005014075.1_ASM501407v1"
"Klebsiella pneumoniae UHKPC07","UHKPC07","GCA_000417265.2","Complete",5.52378,57.3213,"chromosome:NZ_CP011985.1/CP011985.1; plasmid pUHKPC07-113.639kb:NZ_CP011986.1/CP011986.1; plasmid pUHKPC07-13.841kb:NZ_CP011988.1/CP011988.1; plasmid pUHKPC07-74.026kb:NZ_CP011987.1/CP011987.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/417/265/GCA_000417265.2_ASM41726v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/417/265/GCF_000417265.2_ASM41726v2"
"Klebsiella pneumoniae","459","GCA_002814015.1","Complete",5.32094,57.4,"chromosome:NZ_CP018306.1/CP018306.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/814/015/GCA_002814015.1_ASM281401v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/814/015/GCF_002814015.1_ASM281401v1"
"Escherichia coli","2012EL-2448","GCA_003018615.1","Complete",5.27229,50.8,"chromosome:NZ_CP027586.1/CP027586.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/018/615/GCA_003018615.1_ASM301861v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/018/615/GCF_003018615.1_ASM301861v1"
"Salmonella enterica subsp. enterica serovar Tennessee","CFSAN001387","GCA_001535315.2","Complete",4.94397,52.1667,"chromosome:NZ_CP014994.1/CP014994.1; plasmid unnamed:NZ_CP014995.1/CP014995.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/535/315/GCA_001535315.2_ASM153531v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/535/315/GCF_001535315.2_ASM153531v2"
"Salmonella enterica subsp. enterica serovar Newport","CFSAN001660","GCA_001890165.1","Complete",4.90172,52.1088,"chromosome:NZ_CP016010.1/CP016010.1; plasmid pCFSAN001660:NZ_CP016011.1/CP016011.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/890/165/GCA_001890165.1_ASM189016v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/890/165/GCF_001890165.1_ASM189016v1"
"Escherichia coli","RM9088","GCA_008065435.1","Complete",5.5244,50.6266,"chromosome:NZ_CP042298.1/CP042298.1; plasmid p1RM9088:NZ_CP042296.1/CP042296.1; plasmid p2RM9088:NZ_CP042297.1/CP042297.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/065/435/GCA_008065435.1_ASM806543v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/065/435/GCF_008065435.1_ASM806543v1"
"Klebsiella pneumoniae","QS17-0029","GCA_003073235.1","Complete",5.61705,57.1056,"chromosome:NZ_CP024038.1/CP024038.1; plasmid pMR0617ctx:NZ_CP024040.1/CP024040.1; plasmid pMR0617mcr:NZ_CP024041.1/CP024041.1; plasmid pMR0617ndm:NZ_CP024039.1/CP024039.1; plasmid pMR0617oxa:NZ_CP024042.1/CP024042.1; plasmid pMRSN479404_4.7:NZ_CP024044.1/CP024044.1; plasmid pMRSN479404_5.3:NZ_CP024043.1/CP024043.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/073/235/GCA_003073235.1_ASM307323v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/073/235/GCF_003073235.1_ASM307323v1"
"Klebsiella pneumoniae","KP_NORM_BLD_2014_104014","GCA_003855315.1","Complete",5.92004,56.5564,"chromosome:NZ_CP034045.1/CP034045.1; plasmid unnamed1:NZ_CP034046.1/CP034046.1; plasmid unnamed2:NZ_CP034047.1/CP034047.1; plasmid unnamed3:NZ_CP034048.1/CP034048.1; plasmid unnamed4:NZ_CP034049.1/CP034049.1; plasmid unnamed5:NZ_CP034050.1/CP034050.1; plasmid unnamed6:NZ_CP034051.1/CP034051.1; plasmid unnamed7:NZ_CP034052.1/CP034052.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/855/315/GCA_003855315.1_ASM385531v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/855/315/GCF_003855315.1_ASM385531v1"
"Escherichia coli","SMN197SH3","GCA_002863665.1","Complete",5.4117,50.5792,"chromosome:NZ_CP024056.1/CP024056.1; plasmid pO177A3:NZ_CP024055.1/CP024055.1; plasmid pO177B3:NZ_CP024054.1/CP024054.1; plasmid pO177C3:NZ_CP024053.1/CP024053.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/863/665/GCA_002863665.1_ASM286366v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/863/665/GCF_002863665.1_ASM286366v1"
"Salmonella enterica subsp. enterica serovar California","CD-SL01","GCA_005222465.1","Complete",4.83379,52.1,"chromosome:NZ_CP028900.1/CP028900.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/222/465/GCA_005222465.1_ASM522246v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/222/465/GCF_005222465.1_ASM522246v1"
"Salmonella enterica subsp. enterica serovar Paratyphi C str. RKS4594","RKS4594","GCA_000018385.1","Complete",4.88849,52.2068,"chromosome:NC_012125.1/CP000857.1; plasmid pSPCV:NC_012124.1/CP000858.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/385/GCA_000018385.1_ASM1838v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/385/GCF_000018385.1_ASM1838v1"
"Escherichia coli","2014C-3946","GCA_003017955.1","Complete",5.30526,50.6144,"chromosome:NZ_CP027344.1/CP027344.1; plasmid unnamed1:NZ_CP027345.1/CP027345.1; plasmid unnamed2:NZ_CP027346.1/CP027346.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/017/955/GCA_003017955.1_ASM301795v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/017/955/GCF_003017955.1_ASM301795v1"
"Klebsiella pneumoniae","2N3","GCA_002850275.3","Complete",5.31955,57.3,"chromosome:NZ_CP025541.3/CP025541.3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/850/275/GCA_002850275.3_ASM285027v3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/850/275/GCF_002850275.3_ASM285027v3"
"Klebsiella pneumoniae","CAV1193","GCA_001456135.1","Complete",5.8747,57.0929,"chromosome:NZ_CP013322.1/CP013322.1; plasmid pCAV1193-166:NZ_CP013324.1/CP013324.1; plasmid pCAV1193-258:NZ_CP013323.1/CP013323.1; plasmid pCAV1193-3741:NZ_CP013321.1/CP013321.1; plasmid pCAV1193-78:NZ_CP013326.1/CP013326.1; plasmid pKPC_CAV1193:NZ_CP013325.1/CP013325.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/456/135/GCA_001456135.1_ASM145613v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/456/135/GCF_001456135.1_ASM145613v1"
"Escherichia coli","RM13745","GCA_008761475.1","Complete",5.2647,51,"chromosome:NZ_CP044312.1/CP044312.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/761/475/GCA_008761475.1_ASM876147v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/761/475/GCF_008761475.1_ASM876147v1"
"Salmonella enterica subsp. enterica serovar Newport str. CVM 22425","CVM 22425","GCA_000272775.4","Complete",4.99113,52.1905,"chromosome:NZ_CP010279.1/CP010279.1; plasmid pCVM22425:NZ_CP009560.1/CP009560.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/272/775/GCA_000272775.4_ASM27277v4","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/272/775/GCF_000272775.4_ASM27277v4"
"Salmonella enterica subsp. diarizonae","16-SA00356","GCA_004126495.1","Complete",4.87533,51.4107,"chromosome:NZ_CP034074.1/CP034074.1; plasmid pSE16-SA00356:NZ_CP034075.1/CP034075.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/126/495/GCA_004126495.1_ASM412649v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/126/495/GCF_004126495.1_ASM412649v1"
"Escherichia coli","RM13752","GCA_008761455.1","Complete",5.26452,51,"chromosome:NZ_CP044311.1/CP044311.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/761/455/GCA_008761455.1_ASM876145v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/761/455/GCF_008761455.1_ASM876145v1"
"Klebsiella pneumoniae","CRKP I","GCA_005347525.1","Complete",5.31808,57.5,"chromosome:NZ_CP037927.1/CP037927.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/347/525/GCA_005347525.1_ASM534752v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/347/525/GCF_005347525.1_ASM534752v1"
"Klebsiella pneumoniae","PMK1","GCA_000764615.1","Complete",5.99074,56.5508,"chromosome:NZ_CP008929.1/CP008929.1; plasmid pPMK1-A:NZ_CP008930.1/CP008930.1; plasmid pPMK1-B:NZ_CP008931.1/CP008931.1; plasmid pPMK1-C:NZ_CP008932.1/CP008932.1; plasmid pPMK1-NDM:NZ_CP008933.1/CP008933.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/764/615/GCA_000764615.1_ASM76461v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/764/615/GCF_000764615.1_ASM76461v1"
"Escherichia coli O55:H7 str. RM12579","RM12579","GCA_000245515.1","Complete",5.44831,50.4328,"chromosome:NC_017656.1/CP003109.1; plasmid p12579_1:NC_017653.1/CP003110.1; plasmid p12579_2:NC_017657.1/CP003111.1; plasmid p12579_3:NC_017654.1/CP003112.1; plasmid p12579_4:NC_017658.1/CP003113.1; plasmid p12579_5:NC_017655.1/CP003114.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/245/515/GCA_000245515.1_ASM24551v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/245/515/GCF_000245515.1_ASM24551v1"
"Salmonella enterica subsp. enterica serovar Newport str. CVM 22513","CVM 22513","GCA_000272735.4","Complete",4.95111,52.1951,"chromosome:NZ_CP010281.1/CP010281.1; plasmid pCVM22513:NZ_CP009562.1/CP009562.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/272/735/GCA_000272735.4_ASM27273v4","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/272/735/GCF_000272735.4_ASM27273v4"
"Salmonella enterica subsp. enterica serovar Newport str. USDA-ARS-USMARC-1928","USDA-ARS-USMARC-1928","GCA_004136135.1","Complete",5.07772,52.1353,"chromosome:NZ_CP025237.1/CP025237.1; plasmid pSNE1-1928:NZ_CP025238.1/CP025238.1; plasmid pSNE2-1928:NZ_CP025239.1/CP025239.1; plasmid pSNE3-1928:NZ_CP025240.1/CP025240.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/136/135/GCA_004136135.1_ASM413613v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/136/135/GCF_004136135.1_ASM413613v1"
"Escherichia coli","Ecol_881","GCA_002012225.1","Complete",5.59755,50.4424,"chromosome:NZ_CP019029.1/CP019029.1; plasmid pEC881_1:NZ_CP019028.1/CP019028.1; plasmid pEC881_2:NZ_CP019027.1/CP019027.1; plasmid pEC881_4:NZ_CP019025.1/CP019025.1; plasmid pEC881_5:NZ_CP019024.1/CP019024.1; plasmid pEC881_6:NZ_CP019023.1/CP019023.1; plasmid pEC881_7:NZ_CP019022.1/CP019022.1; plasmid pEC881_8:NZ_CP019021.1/CP019021.1; plasmid pEC881_KPC:NZ_CP019026.1/CP019026.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/012/225/GCA_002012225.1_ASM201222v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/012/225/GCF_002012225.1_ASM201222v1"
"Klebsiella pneumoniae subsp. pneumoniae","H11","GCA_002761515.1","Complete",5.31682,57.4,"chromosome:NZ_CP018056.1/CP018056.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/761/515/GCA_002761515.1_ASM276151v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/761/515/GCF_002761515.1_ASM276151v1"
"Klebsiella pneumoniae","KPNIH45","GCA_002918585.2","Complete",5.57151,57.1669,"chromosome:NZ_CP036450.1/CP036450.1; plasmid pKPC-610e:NZ_CP036449.1/CP036449.1; plasmid pKPC-e4b7:NZ_CP036448.1/CP036448.1; plasmid unnamed1:NZ_CP036446.1/CP036446.1; plasmid unnamed2:NZ_CP036447.1/CP036447.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/918/585/GCA_002918585.2_ASM291858v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/918/585/GCF_002918585.2_ASM291858v2"
"Escherichia coli","DA33137","GCA_003180995.1","Complete",5.44187,50.651,"chromosome:NZ_CP029579.1/CP029579.1; plasmid pDA33137-178:NZ_CP029580.1/CP029580.1; plasmid pDA33137-2:NZ_CP029581.1/CP029581.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/180/995/GCA_003180995.1_ASM318099v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/180/995/GCF_003180995.1_ASM318099v1"
